name,subtitle,shorthand,role,credits,year,media_path,media_feature,visible,category,blurb,tags,media_aspect,cover_media,cover_embed-or-image
Under the Lights,,under-the-lights,ADD'TL VFX,"Director, Miles Levin;
VFX, Phosphene FX;
ADD'L VFX, Greg Joblove;",4/28/2025,,FALSE,TRUE,VFX,"I created a CG brain shot using geometry generated in Houdini, rendered in Blender, and comped in Nuke.","cg neurons, cg comp, animation",v,,
Stay,BANKS,stay,,"Artist & Director,BANKS;
Label,Tap Managment;",4/21/2025,,FALSE,TRUE,VFX,I completed last minute touch-ups and an eye-diallation effect shot.,"beauty, eye reflection cleanup",h,,
A Thousand Cranes,,thousand-cranes,,"Director, Jangho Yun;
Production, Wesleyan University;
",4/18/2025,,FALSE,TRUE,VFX,"I lit, animated, and comped a swarm of CG origami cranes.","cg animation, cg comp, cleanup",h,,
Deleware Aqueduct,,aqueduct,,"Studio, Public Opinion[https://www.publicopinion.nyc/];",4/13/2025,,FALSE,TRUE,MoGraph,I animated a number of 2D and 3D explanatory assets to illustrate different aspects of the Delaware Aqueduct project. Created in After Effects with a mixed media aesthetic.,explanatory graphics,h,,https://www.youtube.com/watch?v=xAQcbzBlaGU&ab_channel=PublicOpinion
EAGZ,,eagz,,"Director, Romy Beckman;
Production, Wesleyan University;
",4/11/2025,,FALSE,FALSE,VFX,I was responsible for invisible VFX involving tracking the title logo of the film throughout.,"tracking, cleanup, compositing",h,,
Swim Chicken,,swim-chicken,,"Director, Amelie Boose;
Production, Wesleyan University;
",4/9/2025,,FALSE,TRUE,VFX,I worked on a number of invisible effects and green screen comp work to polish and enhance the footage captured on set.,"keying, reflection cleanup",v,,
Music Video Final,,,,"Director, Greg Joblove;
Production, Wesleyan University;
",1/9/2025,,FALSE,FALSE,VFX,I completed a music video top to bottom as a final assignment for a Music Video class at Wesleyan.,"cg animation, cg comp, vhs emulation",h,,
Empire State Building,,empire-state,,"Studio, Public Opinion[https://www.publicopinion.nyc/];
Client, Empire State Building;",12/11/2024,,FALSE,TRUE,MoGraph,I animated a number of 2D explanatory assets to depict the pump system in the Empire State Building using After Effects with a mixed media aesthetic.,"explainer graphics, 2D animation",h,,https://youtu.be/UW8Efc0vj1w?si=MUA6OtTRWwqtxFUL
Where We Come From,Popcaan,popcaan,,"Artist, Popcaan;
Director, Eóin MacManus;",11/20/2024,,FALSE,TRUE,VFX,I worked on some abstract car green-screen shots.,"keying, comp",h,,
Wires and Trees,Brooks Olson,w&t,,"Artist, Brooks Olson;
Director, Greg Joblove;
Production, Wesleyan University;
",11/2/2024,,FALSE,TRUE,VFX,"I wrote, directed, shot, and completed VFX work to create a music video for Brooks Olson as a midterm for a music video class","cg animation, cg comp",h,,
Worth It?,Shake Shack,worth-it,,"Studio, Public Opinion[https://www.publicopinion.nyc/];
Client, Shake Shack;",10/16/2024,,FALSE,TRUE,MoGraph,"I created graphics to elevate and bookend each segment, while providing transitional energy.",mixed media,h,,https://www.youtube.com/watch?v=DclGZRRxUWI&ab_channel=ShakeShack
360 Camera Tracking,Insta360,360cam,,"Client, Insta360;
Creator, MAKE. ART. NOW.;",9/10/2024,,FALSE,TRUE,VFX,"An experiment where I came up with a method of resolving camera movement through the use of a synced, Insta360 X4 360° witness camera. I used Syntheyes to track and solve the shot, and line the two cameras up in virtual space in Blender. Insta360 press release[https://www.insta360.com/blog/creator-stories/insta360-vfx-reality-capture.html]","r&d, matchmove, sponsored content",h,,https://youtu.be/NdjBN0YQLxQ?si=is7iB6p0-l30HK7F
Subway Animation,Dehancer,dehance,,"Client, Dehancer[https://www.dehancer.com/];
Director, Greg Joblove;",8/16/2024,,FALSE,TRUE,VFX,I created an animation paying homage to the outgoing fleet of R46 New york City Subway cars while highlighting the use of the Dehancer film emulation plugin in a compositing use case.,"cg animation, comp, sponsored content",h,,
Backlot,,backlot,,"Studio, Atlantic Pictures[https://atlanticpictures.com/];
Client, Backlot;",8/4/2024,,FALSE,TRUE,MoGraph,"I determined a motion graphic style for Backlot, a company focused on connecting real estate developers with film sets.","map animation, typography",h,,
The Mix,,mixing,,"Director, Christian La Morte;
VFX, Maxwell Seiler [https://maxseiler.com/];
Add'l VFX, Greg Joblove;",7/15/2024,Themix.jpg,FALSE,TRUE,VFX,I tracked and comped a logo onto a jar for a few shots.,"invisible fx, object tracking, comp",v,,
WHOOP,,whoop,,"Director, Danny Dolan[https://dannydolan.com/];
Agency, Adlab[https://www.buadlab.com/];",6/12/2024,,FALSE,TRUE,MoGraph,"I matched, animated, and incorperated the WHOOP app interface into live action footage to illustrate the statistics the wearable tracks.",UI animation,h,,
The Crooner,,crooner,,"Director, John Earling;
Production, Cardinal Pictures;",4/27/2024,,FALSE,TRUE,VFX,I put the protaganist of my classmate's film into a microwave for a surreal dream sequence.,"cg microwave, keying, comp",v,,
Remnants of Nova,,nova,,"Director, James Barker;
VFX, Mark DePasquale;
, Greg Joblove;",4/9/2024,,FALSE,TRUE,VFX,I augmented and re-animated a number of shots using NASA footage of the sun as plates to emulate the look of the lenses used for the rest of production.,"plate agumentation, look dev",v,,
Volvo Spec,,volvo,,"SPEC WORK,;
Director, Greg Joblove;",3/21/2024,,FALSE,FALSE,VFX,"I created an animated spec ad for Volvo's S90 line of plug-in hybrid sedans, focusing on the ability of the electric-hybrid powertrain to provide both power and comfort. I animated and rendered in Blender, with comping in Nuke. ","cg animation, cg comp",h,,
A Shared Table,,shared table,,"Director, Vince Li;",11/20/2023,,FALSE,TRUE,VFX,"I performed simple set augmentation, paint out, and general cleanup work. ",cleanup,v,,
Bridgewater 30th Anniversary,,bridgewater,,"Agency, Moving Pictures[https://www.movingpicturesllc.com/];
Client, Bridgewater Advisors",7/13/2023,,FALSE,TRUE,MoGraph,"I created a short and elegant logo animation for a financial advising firm, celebrating their 30th anniversary. ",logo animation,h,,
Inspire 3,DJI,dji,,"Client, DJI;
Creator, MAKE. ART. NOW.;",4/10/2023,,FALSE,TRUE,VFX,I created some 3D animations for what was ultimately a binned DJI campaign to launch/review the Inspire 3 drone in collaboration with Josh Yeo from Make Art Now. ,"cg animation, comp",h,,
Bankrupt Opener,,bankrupt,,"Client, Bright Sun Films;",10/21/2022,,FALSE,TRUE,MoGraph,I created a 30 second opening bumper for Jake Williams' YouTube doc series called Bankrupt in After EFfects,title sequence,h,,
Anamorphia II,,anamorphia ii,,"Client, MAKE. ART. NOW.;
Director, Josh Yeo;",2/5/2021,,FALSE,TRUE,VFX,"I completed 70+ VFX shots in the span of two weeks while manageing a team of 15 remote VFX artists, establishing a simple pipeline to keep things organized. I also created custom UI elements for O.T.I.S.","UI elements, tracking, roto, comp",v,,
Bright Sun Travels Maps,,bst maps,,"Client, Bright Sun Films;",,,FALSE,FALSE,MoGraph,,"map animation, ",h,,
