name,shorthand,credits,year,media_path,visible,category,blurb,tags,media_aspect,link_feature,link
360 Camera Tracking,360cam,"Client, Insta360;
Creator, MAKE. ART. NOW.;",9/10/2024,,TRUE,VFX,"An experiment where I came up with a method of resolving camera movement through the use of a synced, Insta360 X4 360° witness camera. I used Syntheyes to track and solve the shot, and line the two cameras up in virtual space in Blender. Insta360 press release[https://www.insta360.com/blog/creator-stories/insta360-vfx-reality-capture.html]","r&d, matchmove, sponsored content",,FALSE,https://youtu.be/NdjBN0YQLxQ?si=is7iB6p0-l30HK7F
Backlot,backlot,"Studio, Atlantic Pictures[https://atlanticpictures.com/];
Client, Backlot;",8/4/2024,,TRUE,MoGraph,"Determined a motion graphic style for Backlot, a company focused on connecting real estate developers with film sets.","map animation, typography",,FALSE,
The Mix,mixing,"Director, Christian La Morte;
VFX, Maxwell Seiler [https://maxseiler.com/];
Add'l VFX, Greg Joblove;",7/15/2024,Themix.jpg,TRUE,VFX,Tracked and comped a logo onto a jar for a few shots.,"object tracking, comp",,FALSE,
WHOOP (Spec?),whoop,"Director, Danny Dolan[https://dannydolan.com/];
Agency, Adlab[https://www.buadlab.com/];",6/12/2024,,TRUE,MoGraph,,UI animation,,FALSE,
The Crooner,crooner,"Director, John Earling;
Production, Cardinal Pictures;",4/27/2024,,TRUE,VFX,,"cg microwave, keying, comp",,FALSE,
Remnants of Nova,nova,"Director, James Barker;
VFX, Mark DePasquale;
, Greg Joblove;",4/9/2024,,TRUE,VFX,,"plate agumentation, look dev",,FALSE,
Diarra from Detroit,diarra,"Studio, Atlantic VFX[https://atlanticpictures.com/];
Client, BET+;
Director, Diarra Kilpatrick",3/21/2024,DiarraFromDetroit_Poster.jpg,TRUE,VFX,"Working at Atlantic Pictures, I completed miscellaneous VFX tasks screen comps, environment augmentation, and UI elements.","screen replacement, envrionment augmentation, cleanup, UI elements",,FALSE,
Daredevil,daredevil,"Studio, Phosphene FX[https://www.phosphenefx.com/];
Client, Marvel;",3/21/2024,,FALSE,VFX,"Working at Phosphene, I worked on and shadowed a number of small compositing tasks for the project: screen replacements, paint-outs, CG comps, and invisible VFX.",,,FALSE,
Volvo Ad (SPEC),volvo,"SPEC WORK,;
Director, Greg Joblove;",3/21/2024,,TRUE,VFX,,"cg animation, cg comp",,FALSE,
A Shared Table,shared table,"Director, Vince Li;",11/20/2023,,TRUE,VFX,,cleanup,,FALSE,
Bridgewater 30th Anniversary,bridgewater,"Agency, Moving Pictures[https://www.movingpicturesllc.com/];
Client, Bridgewater Advisors",7/13/2023,,TRUE,MoGraph,"Created a short and elegant logo animation for a financial advising firm, celebrating their 30th anniversary. ",logo animation,,FALSE,
DJI Ad,dji,"Client, DJI;
Creator, MAKE. ART. NOW.;",4/10/2023,,TRUE,VFX,I created some 3D animations for what was ultimately a binned DJI campaign to launch/review the Inspire 3 drone in collaboration with Josh Yeo from Make Art Now. ,"cg animation, comp",,FALSE,
Bankrupt Opener,bankrupt,"Client, Bright Sun Films;",10/21/2022,,TRUE,MoGraph,I created a 30 second opening bumper for Jake Williams' YouTube doc series called Bankrupt. Created in After Effects ,title sequence,,FALSE,
Anamorphia II,anamorphia ii,"Client, MAKE. ART. NOW.;
Director, Josh Yeo;",2/5/2021,,TRUE,VFX,"Completed 70+ VFX shots in the span of two weeks, and managed a team of 15 remote VFX artists, establishing a simple pipeline to keep things organized. Created custom UI elements for O.T.I.S.","UI elements, tracking, roto, comp",,FALSE,
Bright Sun Travels Maps,bst maps,"Client, Bright Sun Films;",,,FALSE,MoGraph,,"map animation, ",,FALSE,
Subway Animation,subway,,,,FALSE,,,,,FALSE,
